frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Apr  1, 2026 21:28:54.028372389 PKT,192.168.100.85,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:28:54.028372740 PKT,192.168.100.85,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:28:54.046421803 PKT,192.168.100.39,157.240.196.60,17,,,47204,443
Apr  1, 2026 21:28:54.158092185 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:28:54.196417789 PKT,,,,,,,
Apr  1, 2026 21:28:54.221304864 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:54.435901626 PKT,192.168.100.39,52.5.197.43,6,37474,443,,
Apr  1, 2026 21:28:54.744017589 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:54.744225672 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:54.841199026 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:55.325189942 PKT,,,,,,,
Apr  1, 2026 21:28:55.459899948 PKT,192.168.100.39,52.5.197.43,6,37474,443,,
Apr  1, 2026 21:28:55.700194899 PKT,192.168.100.39,157.240.196.60,17,,,47204,443
Apr  1, 2026 21:28:56.227923285 PKT,192.168.100.39,20.189.173.25,6,51768,443,,
Apr  1, 2026 21:28:56.234485057 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:28:56.234485345 PKT,100.50.190.164,192.168.100.39,6,443,52176,,
Apr  1, 2026 21:28:56.234485413 PKT,157.240.196.60,192.168.100.39,17,,,443,47204
Apr  1, 2026 21:28:56.234485487 PKT,157.240.196.60,192.168.100.39,17,,,443,47204
Apr  1, 2026 21:28:56.234485561 PKT,157.240.196.60,192.168.100.39,17,,,443,47204
Apr  1, 2026 21:28:56.234485636 PKT,157.240.196.60,192.168.100.39,17,,,443,47204
Apr  1, 2026 21:28:56.234523089 PKT,192.168.100.39,100.50.190.164,6,52176,443,,
Apr  1, 2026 21:28:56.234725746 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:28:56.235057016 PKT,192.168.100.39,157.240.196.60,17,,,47204,443
Apr  1, 2026 21:28:56.235169129 PKT,192.168.100.39,157.240.196.60,17,,,47204,443
Apr  1, 2026 21:28:56.235214285 PKT,157.240.196.60,192.168.100.39,17,,,443,47204
Apr  1, 2026 21:28:56.235214644 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:28:56.235214742 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:28:56.235214825 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:28:56.235214919 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:28:56.235215004 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:28:56.235215089 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:28:56.235215170 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:28:56.235282814 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:28:56.235282925 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:28:56.235283029 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:28:56.235283133 PKT,100.29.255.43,192.168.100.39,6,443,49566,,
Apr  1, 2026 21:28:56.235283241 PKT,192.168.100.108,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:28:56.235283331 PKT,,,,,,5353,5353
Apr  1, 2026 21:28:56.235305296 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:56.235324158 PKT,192.168.100.39,100.29.255.43,6,49566,443,,
Apr  1, 2026 21:28:56.235283428 PKT,52.5.197.43,192.168.100.39,6,443,37474,,
Apr  1, 2026 21:28:56.235391901 PKT,192.168.100.39,52.5.197.43,6,37474,443,,
Apr  1, 2026 21:28:56.235801248 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:28:56.236320451 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:28:56.236365036 PKT,192.168.100.39,52.5.197.43,6,37474,443,,
Apr  1, 2026 21:28:56.236564287 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:28:56.236665603 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:28:56.236743288 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:28:56.245780159 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:28:56.245780442 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:28:56.245780534 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:28:56.245780624 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:28:56.245780713 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:28:56.245780794 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:28:56.245780879 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:28:56.245834639 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:56.245860782 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:56.245882525 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:56.245891355 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:56.263273759 PKT,192.168.100.39,157.240.196.60,17,,,47204,443
Apr  1, 2026 21:28:56.263363642 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:28:56.467178186 PKT,192.168.100.39,192.168.100.1,17,,,59430,53
Apr  1, 2026 21:28:56.856276910 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:28:56.856277834 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:28:56.856278084 PKT,172.64.148.235,192.168.100.39,6,443,35934,,
Apr  1, 2026 21:28:56.856278293 PKT,157.240.196.60,192.168.100.39,17,,,443,47204
Apr  1, 2026 21:28:56.856339387 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:56.857771630 PKT,192.168.100.39,172.64.148.235,6,35934,443,,
Apr  1, 2026 21:28:56.942936817 PKT,192.168.100.39,157.240.196.60,17,,,47204,443
Apr  1, 2026 21:28:57.274219841 PKT,,,,,,,
Apr  1, 2026 21:28:57.470506245 PKT,157.240.196.60,192.168.100.39,17,,,443,47204
Apr  1, 2026 21:28:57.476031358 PKT,192.168.100.39,157.240.196.60,17,,,47204,443
Apr  1, 2026 21:28:57.546854312 PKT,157.240.196.60,192.168.100.39,17,,,443,47204
Apr  1, 2026 21:28:57.546855436 PKT,157.240.196.60,192.168.100.39,17,,,443,47204
Apr  1, 2026 21:28:57.546855816 PKT,157.240.196.60,192.168.100.39,17,,,443,47204
Apr  1, 2026 21:28:57.547707047 PKT,192.168.100.39,157.240.196.60,17,,,47204,443
Apr  1, 2026 21:28:57.548081843 PKT,192.168.100.39,157.240.196.60,17,,,47204,443
Apr  1, 2026 21:28:57.573696938 PKT,192.168.100.39,157.240.196.60,17,,,47204,443
Apr  1, 2026 21:28:57.967382912 PKT,157.240.196.60,192.168.100.39,17,,,443,47204
Apr  1, 2026 21:28:58.217292755 PKT,192.168.100.39,192.168.100.1,17,,,52898,53
Apr  1, 2026 21:28:58.217456193 PKT,192.168.100.39,192.168.100.1,17,,,60815,53
Apr  1, 2026 21:28:58.516979499 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:28:59.299890587 PKT,192.168.100.39,104.26.6.95,6,55782,443,,
Apr  1, 2026 21:28:59.852408624 PKT,104.26.6.95,192.168.100.39,6,443,55782,,
Apr  1, 2026 21:28:59.852409719 PKT,192.168.100.1,192.168.100.39,17,,,53,60815
