frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Mar 31, 2026 07:59:43.415964185 PKT,192.168.100.39,35.190.80.1,6,37608,443,,
Mar 31, 2026 07:59:43.415998236 PKT,192.168.100.39,35.190.80.1,6,37594,443,,
Mar 31, 2026 07:59:45.776071635 PKT,192.168.100.39,142.251.38.3,17,,,52160,443
Mar 31, 2026 07:59:45.776213638 PKT,192.168.100.39,142.251.38.3,17,,,52160,443
Mar 31, 2026 07:59:45.776312137 PKT,192.168.100.39,142.251.38.3,17,,,52160,443
Mar 31, 2026 07:59:45.777144842 PKT,192.168.100.39,142.251.38.3,17,,,52160,443
Mar 31, 2026 07:59:45.778326194 PKT,192.168.100.39,142.251.38.3,17,,,52160,443
Mar 31, 2026 07:59:45.820878786 PKT,142.251.38.3,192.168.100.39,17,,,443,52160
Mar 31, 2026 07:59:45.824897564 PKT,142.251.38.3,192.168.100.39,17,,,443,52160
Mar 31, 2026 07:59:45.826826252 PKT,142.251.38.3,192.168.100.39,17,,,443,52160
Mar 31, 2026 07:59:45.826826978 PKT,142.251.38.3,192.168.100.39,17,,,443,52160
Mar 31, 2026 07:59:45.859098553 PKT,192.168.100.39,142.251.38.3,17,,,52160,443
Mar 31, 2026 07:59:45.899635177 PKT,142.251.38.3,192.168.100.39,17,,,443,52160
Mar 31, 2026 07:59:45.939872051 PKT,142.251.38.3,192.168.100.39,17,,,443,52160
Mar 31, 2026 07:59:45.939872919 PKT,142.251.38.3,192.168.100.39,17,,,443,52160
Mar 31, 2026 07:59:45.939873392 PKT,142.251.38.3,192.168.100.39,17,,,443,52160
Mar 31, 2026 07:59:45.940708713 PKT,142.251.38.3,192.168.100.39,17,,,443,52160
Mar 31, 2026 07:59:45.940709284 PKT,142.251.38.3,192.168.100.39,17,,,443,52160
Mar 31, 2026 07:59:45.941669228 PKT,192.168.100.39,142.251.38.3,17,,,52160,443
Mar 31, 2026 07:59:45.942471455 PKT,192.168.100.39,142.251.38.3,17,,,52160,443
Mar 31, 2026 07:59:45.942824643 PKT,192.168.100.39,142.251.38.3,17,,,52160,443
