feature,importance
fwd_bytes,0.27499157
packet_size_variance,0.19158882
min_packet_size,0.147468
max_packet_size,0.08216221
burst_rate,0.0440951
psh_count,0.033630747
psh_ratio,0.033214487
bwd_byte_ratio,0.029409334
total_packets,0.019033287
bwd_packets,0.014759599
fwd_packets,0.013493039
fin_count,0.011577678
is_idle_flow,0.010129556
bwd_pkt_ratio,0.009758823
fwd_byte_ratio,0.009087779
fwd_pkt_ratio,0.0086690495
is_high_rate,0.007925256
total_bytes,0.0074413144
bwd_bytes,0.0073622577
avg_packet_size,0.0065394267
